num,nom,annee_naissance,annee_decès,profession
137365,Papanicolaou-Paléologue E. ,1958.0,,
30564,Centlivres Pierre,,,fondateur
51001,LE GARREC Jean ,1929.0,,autre
60522,Courade Georges ,1942.0,,chercheur
408737,Sztanke Michaël,,,
281307,Bancaud Alain,,,juriste
154874,Racle Gabriel,,,
611443,Ravel Nadine ,1960.0,,autre
27800,Courtois Stéphane ,1947.0,,historien
28425,Pluet-Despatin Jacqueline,,,historien
199529,Abdulkarim Amir,,,géographe
251905,Ohayon Jacob,,,
403224,Hani Elias,,,
33010,Levi Mario,,,
0002241,Morissonneau Christian,,,
0002251,Solem Erik,,,
166929,Veraldi Gabriel,,,
394310,Pillon Thierry,,,
237789,Guillaumont Antoine ,1915.0,2000.0,historien
194379,Winter Guillaume,,,
173865,Zaleski Eugène ,1918.0,2001.0,historien
584756,Elbhecq Pierre-Joseph du Chambge baron d,1733.0,1793.0,
417213,Prieur Pierre-Louis ,1756.0,1827.0,autre
276645,Brito Emilio ,1942.0,,théologue
149900,Breton-Jokl Marcelle,,,
269422,Body-Gendrot Sophie ,1942.0,,professeur
0002391,de Montclos Marc-Antoine Pérouse,,,
195178,Pribytkova Irina,,,
227887,McCabe Kevin A.,,,
265274,Kayser Bernard ,1926.0,2001.0,géographe
441727,Stuurman Siep ,1946.0,,autre
40074,Triomphe Robert ,1917.0,2019.0,professeur
402714,Wagda Marin,,,
177280,Jacquet Raphaël,,,
252098,Kane Abdoulaye,,,sociologue
36034,Catroux,,,
196864,Lot Ferdinand ,1866.0,1952.0,historien
273586,Houdaille Jacques ,1924.0,2007.0,
0002531,Musso Pierre,,,
58775,Redor Dominique,,,economiste
82455,Kodmani-Darwish Bassma ,1958.0,,
26433,Attias-Donfut Claudine ,1941.0,,sociologue
259996,Wolff François-Charles ,1973.0,,
161657,Tessier Philippe ,1966.0,,
9404,Auger Pierre ,1944.0,,chercheur
26314,Ullmo Yves ,,2006.0,autre
35311,Lebed Alexandre,,,
36096,Lomidzé Svetlana,,,
224499,Gilquin Michel,,,anthropologue
157012,Boursin Françoise ,1946.0,,
145347,Hirmenech P.-H.,,,
145424,Peytavin Jean-Louis,,,
253973,O,,,
617197,Debierre Ch.,,,
221332,Collin Françoise ,1928.0,2012.0,philosophe
47918,Hassner Pierre ,1933.0,2018.0,philosophe
11781,Ferembach Denise,,,anthropologue
704240,Chardine André ,1902.0,1971.0,
49163,Charles Bernard,,,
403611,Tienda Marta,,,sociologue
0002742,ISM-TI,,,
72054,Alix E. ,1823.0,1903.0,anthropologue
264958,Courteault Henri ,1869.0,1937.0,fondateur
0002781,Caumartin Anne,,,
245750,Dorez Léon ,1864.0,1922.0,autre
570787,Giraud Duplessis Pierre-Guillaume ,1754.0,1820.0,conseiller
587705,George Robert-François ,1741.0,1803.0,autre
402438,Muguet de Nanthou François Felix ,1760.0,1808.0,autre
423305,Boissy d,1756.0,1826.0,
419031,André Antoine Balthazar d,1759.0,1825.0,
392291,Aubague Maurice,,,
658194,Foglierini F.,,,
657282,Granier Claude Louis,,,
47745,Dumas-Soula M. L.,,,
225237,Ogden Philip E. ,1949.0,,
3472,DUMASY Anne,,,
5313,de Schonen Scania,,,directeur
403980,Liauzu Claude ,1940.0,2007.0,autre
285448,de Turin Second,,,
259609,Bernault Florence,,,historien
140790,Fredericq,,,
217149,Mahoudeau P.-G.,,,
276839,Le Bras Hervé ,1943.0,,conseiller
197799,Trenard Louis ,1914.0,1994.0,
71704,Dally E. ,1833.0,1887.0,médecin
0003001,Prévost Hélène,,,
393194,Perrot Michelle ,1928.0,,historien
141307,Benedikt Moritz ,1835.0,1920.0,médecin
280473,Jacquinot Geneviève,,,professeur
146935,Landau E.,,,
49484,Binet Alfred ,1857.0,1911.0,fondateur
0003071,Valaskakis Kimon,,,
276083,Martin Martial,,,autre
141245,Davis Barnard ,1801.0,1881.0,
232265,Johansson K. Patrick,,,
394037,Didou Aupetit Sylvie,,,
3624,NEDELCU Mihaela,,,sociologue
180152,Zajonckovskaja Žana,,,
180179,Visnevskaja Marina,,,
145365,Elliot-Smith G.,,,
214603,Revel Alain,,,sociologue
46375,Toulemon Robert,,,autre
403706,Krasteva Anna,,,
69620,Le Coadic Yves-François,,,ingénieur
0003221,Semujanga Josias,,,
0003222,Tcheuyap Alexie,,,
198873,Pitié Jean ,1922.0,1993.0,géographe
231215,Marin Richard ,1948.0,,historien
404386,Kessar Zahia,,,
161861,Julien Pierre ,1921.0,2007.0,conseiller
30125,Grappin Pierre ,1915.0,1997.0,professeur
49710,Galifret Yves ,1920.0,2013.0,directeur
288770,Sirat Colette,,,
614922,Gaha Mohamed,,,
614923,Dubois Daniel ,1947.0,,ingénieur
614915,Nkambou Roger,,,
149734,Guigou Jean-Louis ,1939.0,,professeur
251340,Laroui Abdallah ,1933.0,,historien
223595,Jabès Jak,,,
223596,Ziller Jacques ,1951.0,,professeur
1645,Bonin Bernard,,,
80339,Van Kalken Frans ,1881.0,1961.0,historien
418070,Merlin ,1754.0,1838.0,conseiller
262521,Sanguin André-Louis ,1945.0,,géographe
74264,Papillault G. ,1863.0,1934.0,anthropologue
246018,Aglietta Michel ,1938.0,,conseiller
262850,Lassailly-Jacob Véronique ,1949.0,,chercheur
236816,Bachet Daniel,,,sociologue
231329,Epstein Ariela,,,
25062,Hugon Philippe ,1939.0,2018.0,professeur
158612,Barloy Jean-Jacques ,1939.0,2013.0,journaliste
155930,Falardeau Mira ,1948.0,,autre
145350,Fallot A.,,,
661730,Martin Henri ,1810.0,1883.0,historien
51120,Lacoste Jean ,1950.0,,philosophe
216690,Topinard Paul ,1830.0,1911.0,anthropologue
216691,Chudzinski Théophile ,1840.0,1897.0,
216692,Kuhff,,,
80309,Defert,,,
64054,Dias Nélia,,,anthropologue
