mot,num_article,frequence
europ,385,3
europ,386,4
plus,386,1
comm,386,1
entre,386,1
europ,387,1
europ,388,3
europ,389,6
pay,389,2
européen,389,1
tout,389,1
entre,389,1
europ,390,2
des,390,2
plus,390,2
europ,391,3
polit,391,1
europ,392,4
pay,392,2
polit,392,1
europ,393,4
pay,393,1
polit,393,1
entre,393,1
europ,394,2
europ,395,4
europ,396,4
pay,396,1
polit,396,1
europ,397,2
pay,397,1
europ,398,6
pay,398,1
européen,398,2
entre,398,5
europ,399,2
des,399,3
plus,399,2
pay,399,1
franc,399,2
entre,399,2
europ,400,4
plus,400,2
comm,400,1
europ,401,1
europ,402,6
entre,402,1
europ,403,2
europ,404,2
europ,405,3
europ,406,7
plus,406,2
pay,406,1
franc,406,1
comm,406,1
europ,407,2
europ,408,4
européen,408,2
tout,408,1
europ,409,2
europ,410,2
europ,411,1
europ,412,1
europ,413,1
europ,414,1
europ,415,5
tout,415,1
entre,415,1
europ,416,4
des,416,1
franc,416,1
européen,416,2
entre,416,2
europ,417,4
franc,417,2
europ,418,7
comm,418,2
europ,419,2
plus,419,1
pay,419,1
polit,419,2
franc,419,2
europ,420,3
des,420,2
plus,420,1
tout,420,1
comm,420,1
europ,421,5
comm,421,1
europ,422,6
des,422,2
europ,423,3
pay,423,1
européen,423,1
tout,423,1
comm,423,1
entre,423,1
europ,424,3
européen,424,1
entre,424,1
europ,425,1
des,425,1
plus,425,1
europ,426,1
des,426,2
europ,427,2
plus,427,1
polit,427,2
europ,428,4
europ,429,3
tout,429,1
europ,430,3
europ,431,1
franc,431,1
europ,432,3
tout,432,1
europ,433,3
polit,433,1
européen,433,2
comm,433,1
tout,434,1
europ,437,2
des,437,1
comm,437,1
europ,438,2
europ,440,10
des,440,4
pay,440,1
europ,441,7
europ,442,1
des,442,1
plus,442,4
polit,443,1
comm,443,1
europ,445,4
plus,445,1
tout,445,1
comm,445,1
entre,445,1
des,446,3
europ,447,1
europ,448,1
plus,448,1
tout,448,2
comm,449,1
comm,450,1
europ,451,1
pay,451,1
europ,452,2
plus,452,3
europ,453,2
europ,454,5
europ,455,4
pay,455,2
comm,455,2
entre,455,1
des,456,1
comm,456,1
europ,457,2
plus,457,1
pay,457,1
europ,458,1
europ,459,1
europ,460,1
tout,460,1
plus,462,1
plus,464,4
entre,465,1
des,467,3
plus,467,1
des,468,2
tout,468,1
entre,469,1
europ,471,1
comm,471,1
plus,473,1
europ,474,1
des,474,1
europ,475,1
franc,475,1
europ,476,3
plus,476,1
polit,476,2
europ,477,3
comm,477,2
entre,477,2
europ,478,2
polit,478,1
des,479,1
plus,479,2
comm,480,2
comm,481,1
europ,482,1
tout,482,2
comm,482,2
europ,483,1
entre,484,1
des,485,1
plus,485,1
pay,485,1
polit,485,1
europ,486,2
plus,486,1
europ,488,2
plus,488,1
pay,488,1
des,489,1
plus,489,1
comm,489,1
entre,489,1
comm,490,1
entre,490,2
europ,491,1
plus,491,1
europ,492,2
plus,492,3
franc,492,2
tout,492,1
europ,493,2
plus,493,1
pay,493,2
europ,494,2
polit,494,1
europ,495,2
pay,495,2
polit,495,1
comm,495,1
entre,495,1
europ,496,2
des,496,1
europ,497,2
pay,497,1
europ,498,1
des,498,2
comm,498,1
europ,499,1
tout,499,1
europ,500,1
comm,500,1
tout,501,1
europ,502,3
franc,502,2
comm,502,1
entre,502,1
europ,503,2
des,503,1
pay,503,1
tout,503,1
comm,503,1
europ,504,2
europ,505,3
des,505,1
plus,505,3
polit,505,1
franc,505,1
européen,505,2
tout,505,1
plus,506,1
tout,506,1
comm,506,1
entre,506,1
europ,507,2
comm,508,1
plus,509,1
entre,509,1
europ,510,6
comm,510,1
europ,511,6
des,511,3
plus,511,1
polit,511,1
entre,512,1
des,514,1
comm,514,1
entre,514,1
des,515,1
pay,515,2
des,516,1
europ,517,2
pay,517,1
entre,517,1
franc,518,1
comm,519,1
europ,520,1
plus,520,1
comm,520,1
europ,521,1
pay,521,1
europ,522,1
plus,522,1
pay,522,2
des,523,1
europ,524,1
plus,524,1
pay,524,2
des,525,1
europ,526,1
des,526,1
tout,526,2
tout,527,1
europ,528,1
des,528,2
plus,528,3
des,529,1
entre,529,1
plus,530,2
europ,531,3
plus,531,1
entre,531,2
des,532,4
plus,532,2
des,533,1
comm,533,1
plus,534,1
des,535,3
tout,539,1
comm,539,1
plus,540,1
des,541,2
tout,541,1
comm,541,3
europ,544,3
pay,544,1
polit,544,2
