num,nom,annee_naissance,annee_decès,bio
215901,Thuillier Jacques ,1928.0,2011.0,"Professeur au Collège de France, Chaire d'histoire de la création artistique en France (depuis 1978). - Spécialiste de Fragonard, Georges de La Tour, Le Nain (Source DataBNF)"
229382,Huchet Jean-François,,,
000671,Goetz Rose,,,
46878,Goulard Sylvie ,1964.0,,"Femme politique. - Énarque, membre du Conseil d'État. - Professeur à Sciences-po, Paris et au Collège d'Europe, Bruges (en 2004). - Députée européenne à la commission des Affaires économiques et monétaires (en 2012). - Ministre des armées (2017-) (Source DataBNF)"
237832,Carter John Marshall,,,"Spécialiste de l'éducation. - Enseigne à ""Oglethorpe university"", Atlanta, Ga. (en 1992) (Source DataBNF)"
29644,Ozouf Mona ,1931.0,,"Historienne et philosophe. - Spécialiste de la Révolution française, de l'histoire de l'enseignement et de l'histoire des femmes. - Directrice de recherche au CNRS (en 2011). - Membre du centre d'études sociologiques et politiques Raymond Aron, EHESS - École de hautes études en sciences sociales, Paris (en 2011). - Épouse de : Ozouf, Jacques (1928-2006), historien (Source DataBNF)"
000711,Burgos Erik,,,
48847,Chevallier Dominique ,1928.0,2008.0,"Professeur émérite à l'Université de Paris-Sorbonne (Paris IV), spécialiste de l'histoire contemporaine des pays arabes et islamiques (Source DataBNF)"
276782,Vichnevski A. G.,,,
2706,Zayontchkovskaia Jeanne,,,
25754,Meillassoux Claude ,1925.0,2005.0,Anthropologue. - Directeur de recherche au CNRS (Source DataBNF)
000761,Mougnok Cyprien Bassamagne,,,
156479,Appel Violaine,,,
151380,Weinstein Sidney,,,
151381,Bouchereau Michèle,,,
151382,Weinstein Curt,,,
000781,Garneau Stéphanie,,,
000782,Mazzella Sylvie,,,
210529,Gérard-Varet Louis-André ,1945.0,2001.0,Professeur des universités. - Directeur d'études à l'École des hautes études en sciences sociales (EHESS). - Décédé à Marseille (Source DataBNF)
24425,Abraham-Frois Gilbert,,,Economiste. - Ancien élève de HEC et de l'IEP de Paris et agrégé de sciences économiques. - Professeur à l'Université de Paris-X Nanterre (en 1988) (Source DataBNF)
299842,Berthlemy Jean-Claude,,,
25903,Morin Pierre ,1946.0,,"Polytechnicien, diplômé du CEPE. - Travaille à la Direction de la prévision du Ministère de l'économie, des finances et de la privatisation (en 1987) (Source DataBNF)"
60073,Mougeot Michel ,1946.0,,Économiste. - Professeur de sciences économiques à l'Université de Besançon (en 1989) (Source DataBNF)
24196,Pollin Jean-Paul ,1944.0,,"Agrégé de sciences économiques. - Professeur à l'Université d'Orléans (en 1994). - Directeur de l'Institut orléanais de finance, ainsi que du Groupement de recherche ""Monnaie et financement"" du CNRS (en 1994). - Rédacteur en chef de la revue ""Economie et prévision"" du ministère de l'économie (en 1994) (Source DataBNF)"
176949,Andreff Wladimir ,1946.0,,"Professeur de sciences économiques à l'Université de Grenoble II (en 1988). - Président du Conseil scientifique de l'Observatoire national de l'économie du sport (en 1988). - Professeur de sciences économiques à l'Université de Paris I (en 1992)
Ecrit aussi en anglais (Source DataBNF)"
000811,Rakotonarivo Andonirina,,,
388577,Lerat Serge ,1929.0,2005.0,"Géographe. - Professeur à l'institut de géographie, Université Michel de Montaigne Bordeaux 3 (1961-1997) (Source DataBNF)"
402892,Kirakosyan Hasmik,,,
249881,Obringer Frédéric,,,"Docteur en pharmacie et docteur en études chinoises. - Chargé de conférences, École pratique des hautes études, Paris (en 1997). - Membre du Groupe de recherche sur l'histoire des sciences et des techniques en Chine, en Corée et au Japon (en 1997)
Traduit de l'anglais en français (Source DataBNF)"
234171,Gipouloux François,,,Conseiller commercial adjoint à l'Ambassade de France à Pékin (de 1983 à 1986). - Chargé de recherche au CNRS (en 1993) (Source DataBNF)
000861,Pilon-Lé Lise,,,
449455,Ditter Jean-Guillaume,,,"Docteur en sciences économiques, chercheur à l'Espace Europe à Grenoble (en 1996) (Source DataBNF)"
449457,Gedeshi Ilir,,,
399039,Reynaud Alain ,1942.0,,Professeur à l'Institut de géographie de l'Université de Reims (en 1987) (Source DataBNF)
71813,Abry Christian ,1945.0,,
71814,Joisten Alice,,,Spécialiste des traditions et croyances populaires de la Savoie et du Dauphiné (Source DataBNF)
176688,Tinguy Anne de,,,Chercheur à la fondation nationale des sciences politiques (CERI). - Chargée à l'Institut d'études politiques d'un séminaire sur la politique étrangère de l'URSS et de la Russie (en 1993) (Source DataBNF)
000911,Fouqueré Christophe,,,
000912,Issac Fabrice,,,
171585,Chevalier Maxime ,1925.0,2007.0,"Hispaniste. - Professeur à l'université de Bordeaux
A aussi écrit en espagnol (Source DataBNF)"
35650,Louapre Muriel,,,
613654,Loock Christian,,,
402588,Chikha Elisabeth,,,
000971,Marois Claude,,,
70726,Pieri C.,,,
70727,Zs-Nagy I.,,,
70728,Zs-Nagy V.,,,
70729,Giuli C.,,,
70730,Bertoni-Fredari C.,,,
250738,Surre-Garcia Alem,,,"Écrivain, librettiste, auteur dramatique, conférencier, essayiste. - Chef de projet à la Fundación Occitania (en 2011). - Chargé de mission pour la langue et la culture occitanes auprès du Conseil régional de Midi-Pyrénées de 1989 à 2006 (Source DataBNF)"
0001031,Ballatore Magali,,,
194585,Karmiloff-Smith Annette,,,"Professeur et chef de l'Unité de développement neurocognitif de l'Institut pour la santé de l'enfant, Londres (en 2004) (Source DataBNF)"
194587,Thomas Michael,,,
224224,Agulhon Catherine,,,Enseignante à l'Université de Paris Descartes (en 2007) (Source DataBNF)
149159,Kohlbrugge J. H. F.,,,
25157,Latouche Serge ,1940.0,,"Économiste et philosophe. - Enseignant à la Faculté de droit de l'Université de Lille et à l'IEDES, Institut d'étude du développement économique et social, de Paris (en 1988) ; spécialiste du tiers monde et de l'épistémologie des sciences sociales. - Professeur émérite à l'Université de Paris VI, participe à la ""Revue du MAUSS"", président de l'association La ligne d'horizon (en 2004) (Source DataBNF)"
233965,Tamba Saïd,,,"Historien. - Écrivain, enseignant à l'université de Paris-VIII (Source DataBNF)"
52462,Fauvarque-Cosson Bénédicte ,1966.0,,Agrégée des Facultés de droit. - Professeur à l'Université de Rouen (en 1996). - Professeur à l'Université Panthéon-Assas Paris II (en 2003) (Source DataBNF)
76702,Colnort Suzanne,,,
0001111,Drapeau Vieira Contim Filipe,,,
0001112,Ludwig Pascal,,,
72248,Deniker Joseph ,1852.0,1918.0,Naturaliste et anthropologue. - Docteur ès sciences naturelles (1886). - Bibliothécaire en chef au Muséum national d'Histoire Naturelle (à partir de 1888). - Membre de la Société d'anthropologie et de la Société de géographie. - Délégué du gouvernement français aux Conférences internationales de bibliographie (1896-1900). - Fut l'un des rédacteurs en chef du Dictionnaire de Géographie Universelle (Source DataBNF)
0001141,Vidal Catherine,,,
46746,Fouquoire-Brillet Elisabeth,,,
46701,Chenal Alain,,,Maître de conférences en droit public à Paris 10 depuis 1968. - Spécialiste des questions de la Méditerranée et du monde arabe et musulman contemporain (Source DataBNF)
54398,Eliou Marie,,,Professeur à l'Université de Ioannina (en 1988). - Spécialiste de la sociologie de l'éducation (Source DataBNF)
0001201,Saint-Pierre Céline,,,
0001221,Batraville Nathalie,,,
0001231,Johnson Harry G.,,,
83773,Hallack Jacques,,,
403139,Diouf-Kamara Sylviane ,1952.0,,
0001261,Locher Uli,,,
404173,Streltsova Iana,,,
