nom_pays,num_article
oman,9700
oman,9710
madagascar,9741
madagascar,9742
australia,9744
portugal,9746
luxembourg,9768
finland,9779
oman,9779
réunion,9788
egypt,9791
haiti,9806
finland,9816
france,9826
oman,9826
egypt,9830
oman,9833
egypt,9837
japan,9845
egypt,9853
mali,9856
réunion,9862
mali,9863
belgium,9880
afghanistan,9897
egypt,9904
afghanistan,9916
afghanistan,9918
egypt,9931
egypt,9935
finland,9968
portugal,9968
chad,9972
réunion,9974
