nom,num_doc,role
386710,593.0,
28644,596.0,
269022,597.0,
69282,598.0,
172557,601.0,
172557,602.0,
172557,603.0,
172557,611.0,
172557,612.0,
172557,613.0,
172557,614.0,
172557,615.0,
172557,616.0,
172557,617.0,
172557,618.0,
172557,619.0,
172557,620.0,
172557,621.0,
172557,622.0,
172557,623.0,
172557,624.0,
172557,625.0,
172557,626.0,
203327,626.0,
172557,627.0,
202801,627.0,
34225,628.0,
26851,631.0,
47969,632.0,
295980,633.0,
285193,635.0,
84430,636.0,
222348,637.0,
222350,637.0,
59414,638.0,
295578,639.0,
51977,641.0,
62943,642.0,
62945,642.0,
396290,643.0,
47381,644.0,
46411,644.0,
147841,645.0,
46411,646.0,
46411,647.0,
46771,648.0,
26504,649.0,
59179,650.0,
47141,650.0,
46411,651.0,
47275,651.0,
228630,652.0,
26504,652.0,
46411,653.0,
33979,653.0,
47098,654.0,
47141,655.0,
26504,655.0,
47141,656.0,
35481,657.0,
47141,658.0,
233319,658.0,
59179,659.0,
47571,660.0,
26851,661.0,
48314,662.0,
47645,663.0,
33010,664.0,
0006641,665.0,
283984,666.0,
33685,667.0,
24712,668.0,
26027,668.0,
0006673,668.0,
240969,669.0,
25041,669.0,
5311,669.0,Contributeur
5312,669.0,Contributeur
33002,670.0,
651976,671.0,
27169,672.0,
570853,673.0,
245741,676.0,
242199,677.0,
265867,678.0,
265867,680.0,
248592,681.0,
264386,682.0,
29792,683.0,
274943,684.0,
250614,685.0,
271280,686.0,
265867,693.0,
35478,695.0,
11681,696.0,
46878,697.0,
49163,698.0,
285843,699.0,
165785,700.0,
165796,701.0,
72248,702.0,
6612,703.0,
36445,704.0,
233241,705.0,
281846,705.0,
34455,706.0,
47751,707.0,
34040,708.0,
34891,709.0,
46375,710.0,
46454,711.0,
46522,712.0,
47132,714.0,
47141,715.0,
26504,716.0,
26964,717.0,
47562,718.0,
47571,719.0,
47751,720.0,
166145,723.0,
166201,724.0,
34139,725.0,
270290,726.0,
402714,727.0,
30846,729.0,
281513,730.0,
8882,731.0,
659325,732.0,
245098,733.0,
823374,734.0,
852852,735.0,Personne interrogée
394021,735.0,Interviewer
263490,737.0,
242562,739.0,
277200,740.0,
0007411,742.0,
0007421,743.0,
404032,744.0,Personne interrogée
2712,744.0,Interviewer
219348,745.0,
251347,746.0,
72042,747.0,
63158,748.0,
82156,750.0,
271212,753.0,
31650,755.0,
30424,756.0,
33404,757.0,
265867,760.0,
10428,762.0,
154874,763.0,
0007631,764.0,
257011,765.0,
698199,766.0,
151520,766.0,Personne interrogée
250002,767.0,
246374,767.0,Traducteur
393090,768.0,
266626,769.0,
229358,770.0,
30541,771.0,
288714,772.0,
60507,774.0,
57274,775.0,
72028,776.0,
180469,777.0,
46646,777.0,
180040,777.0,
235493,778.0,
30846,780.0,
833253,781.0,
165161,782.0,
205149,783.0,
0007831,784.0,
0007832,784.0,
424334,785.0,
616089,785.0,
177157,786.0,
246744,787.0,
417607,788.0,
417213,788.0,
402004,788.0,
80309,789.0,
230400,791.0,
145263,792.0,
237071,793.0,
59637,795.0,
34493,796.0,
852837,797.0,
67334,798.0,
232560,798.0,Éditeur intellectuel
248410,799.0,
449573,800.0,
231654,801.0,
213225,802.0,
49398,803.0,
0008031,804.0,
204514,805.0,
275951,806.0,
0008071,808.0,
0008072,808.0,
395559,810.0,
150442,810.0,
151434,810.0,
179636,811.0,
687026,812.0,
32900,813.0,
216689,815.0,
418186,816.0,
364639,818.0,
172428,819.0,
265972,821.0,
0008211,822.0,
149678,824.0,
265825,825.0,
0008251,826.0,
231723,827.0,
404401,828.0,
0008291,830.0,
268426,831.0,
250891,832.0,
417507,833.0,
167471,834.0,
167472,834.0,
167473,834.0,
167474,834.0,
167475,834.0,
49335,835.0,
1680,835.0,
33295,835.0,
832883,837.0,
733359,838.0,
227888,840.0,
29796,841.0,
385573,844.0,
181415,845.0,
166748,846.0,
235952,849.0,
30397,850.0,
62832,851.0,
281844,852.0,
24319,853.0,
7398,854.0,
195713,855.0,
167331,856.0,
417607,857.0,
46848,859.0,
